user_name,week_number,game_number,squiggle_game_key,home_team,away_team,winning_team,selected_team,is_correct,source_tab
Tom,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Tom,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Tom,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Tom,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Tom,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Tom,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Tom,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Tom,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Tom,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Billy,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Billy,1,2,012,Hawthorn,Essendon,Hawthorn,Essendon,0,Round 1
Billy,1,3,013,Geelong,Fremantle,Geelong,Fremantle,0,Round 1
Billy,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Billy,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Billy,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Billy,1,7,017,Adelaide,St Kilda,Adelaide,St Kilda,0,Round 1
Billy,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Billy,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Jayne,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Jayne,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Jayne,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Jayne,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Jayne,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Jayne,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Jayne,1,7,017,Adelaide,St Kilda,Adelaide,St Kilda,0,Round 1
Jayne,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Jayne,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Ant,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Ant,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Ant,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Ant,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Ant,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Ant,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Ant,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Ant,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Ant,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Alex,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Alex,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Alex,1,3,013,Geelong,Fremantle,Geelong,Fremantle,0,Round 1
Alex,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Alex,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Alex,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Alex,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Alex,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Alex,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Ruby,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Ruby,1,2,012,Hawthorn,Essendon,Hawthorn,Essendon,0,Round 1
Ruby,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Ruby,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Ruby,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Ruby,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Ruby,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Ruby,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Ruby,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Ryan,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Ryan,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Ryan,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Ryan,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Ryan,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Ryan,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Ryan,1,7,017,Adelaide,St Kilda,Adelaide,St Kilda,0,Round 1
Ryan,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Ryan,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Mark,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Mark,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Mark,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Mark,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Mark,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Mark,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Mark,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Mark,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Mark,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Henry,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Henry,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Henry,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Henry,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Henry,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Henry,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
